Gene	CRE1	CRE2	CRE3	CRE4	FLOX1A	FLOX1	FLOX2A	FLOX2	FLOX3	FLOX4A
Frs2	30.36930292	26.67312821	34.58183766	27.4641126	15.00710057	25.2967994	14.79347943	42.26099365	33.45249807	29.06721043
Frs3	0.166356498	0.629173146	0.365816336	0.43473819	1.133629899	0.627193374	0.485988155	1.067004348	0.689934464	0.448781159
Fry	24.63924577	23.69885516	29.31408242	30.14814838	18.62391977	12.20936434	18.87577993	15.87168968	16.0922552	18.34824507
Fryl	37.70747289	34.22320596	39.11796023	34.93026847	34.47674424	33.53393904	36.85734166	60.7620869	48.23947185	44.36029146
Frzb	0.425133273	0.171592676	0.146326535	0.113409963	0.503835511	0.125438675	0.233274314	0.038107298	0.223762529	0.327955462
Fsbp	0.092420277	0.038131706	0	0	0.125958878	0.355409578	0.388790524	0.971736103	0.596700077	0.224390579
Fscn1	32.47648523	75.00506532	21.04663322	37.38748432	73.07414319	14.67632494	101.3576896	7.011742859	20.77262143	83.09355762
Fscn2	0.221808664	0.171592676	0.243877558	0.189016604	0.305900132	0.020906446	0.349911471	0.171482842	0.018646877	0.051782441
Fscn3	0.073936221	0.076263412	0.243877558	0.302426567	0.017994125	0.167251566	0.038879052	0.133375544	0.205115651	0
Fsd1	0.129388387	0.305053646	0.17071429	0.132311623	0.431859009	0.041812892	0.213834788	0	0.07458751	0.189868952
Fsd1l	4.657981946	3.603446199	2.7558164	2.249297591	1.205606401	4.11856982	0.933097257	5.925684862	3.225909791	2.157601725
Fsd2	1.016623044	0.953292645	0.121938779	0.945083021	0.305900132	0.898977169	0.835899626	0.971736103	0.950990748	0.396998717
Fshr	0	0	0	0	0	0	0	0	0	0.017260814
Fsip1	0	0	0.024387756	0	0.269911881	0.020906446	0.15551621	0.038107298	0	0.051782441
Fst	0.369681107	0.343185352	0.097551023	0.283524906	0.557817887	0.020906446	1.06917394	0.495394876	0.50346569	1.346343476
Fstl1	4.380721115	4.308882756	2.926530691	3.685823783	4.462543096	1.923393012	3.071445138	1.924418556	4.568484965	4.09081287
Fstl3	0.203324609	0.171592676	0.414591848	0	0.611800263	0.020906446	0.194395262	0.190536491	0.07458751	0.276173021
Fstl4	0.110904332	0.13346097	0.243877558	0.415836529	0.125958878	0.439035362	0.233274314	0.076214596	0.391584426	0.017260814
Fstl5	0.27726083	0.019065853	0.121938779	0.245721586	0.503835511	0.167251566	0.077758105	0	0.018646877	0.034521628
Fth1	8972.271366	8726.707796	11573.23388	9673.586281	8138.7789	10684.03006	7931.851553	7899.738174	7721.112528	8511.704282
Ftl1	3406.759272	3336.600521	3564.489994	3495.276144	2825.473556	3028.654082	2583.979579	2501.210621	2478.953176	1623.569406
Ftl1-ps1	27.55972651	26.46340383	30.36275592	29.16526204	23.08646287	25.86127344	21.34459976	22.04507198	20.10133384	11.96174396
Fto	53.99192565	49.72374437	44.0442869	43.58722894	37.91362219	46.78862567	35.94368393	49.59664854	45.70349652	38.56065802
Ftsj1	10.09229422	9.094411835	7.072449169	7.371647566	12.95577028	13.84006711	11.29436472	13.24228611	9.715023129	13.03191442
Ftsj3	56.96785856	52.48829304	49.48275643	48.1425291	69.49331224	87.09625315	67.04692583	98.52641936	71.92100616	69.61286204
Fubp1	81.57013621	78.47505055	87.60081868	85.32209516	92.83169287	124.93692	87.57506549	148.2564434	128.0854009	111.9363775
Fubp3	32.97555473	32.08783044	31.55775595	26.53793124	29.49237151	40.9557273	27.95403866	51.92119373	33.60167309	34.79780061
Fuca1	135.3587373	133.3084435	123.0606155	117.0390814	140.8040311	138.442484	139.4397214	133.4327045	112.8136083	122.7589077
Fuca2	167.0958603	153.0416013	169.641229	154.577779	137.0072707	156.359308	142.5111665	169.2345111	147.4222128	144.3694466
Fundc1	41.5521564	37.19747901	35.45979687	32.52975759	37.3558043	46.68409344	37.61548318	32.9628129	39.68055512	39.75165417
Fundc2	49.94391753	45.31953235	38.60581736	40.61966826	40.30684086	50.21728278	43.48622009	47.10062051	42.04870855	34.67697492
Fuom	7.985111907	8.40804113	5.487245045	6.029629676	7.269626656	9.951468195	9.428170202	4.248963743	5.053303777	4.746723794
Furin	435.1146627	425.3210466	387.7409288	368.0153285	394.3412578	291.3940414	390.753916	388.1418853	335.1962683	415.9856125
Fus	318.7760184	322.0794531	399.2275617	430.995661	504.8971642	457.6630047	491.4506616	610.5551309	555.4345373	470.4780016
Fut10	1.016623044	0.838897528	1.024285742	0.472541511	1.079647523	1.442544759	0.330471945	1.352809084	1.752806476	0.535085228
Fut11	25.7852572	24.19456733	20.5588781	19.71443182	15.52893021	18.14679494	15.04619327	22.12128657	17.56535852	15.03416882
Fut2	0.110904332	0.285987794	1.902244949	0.661558115	0.539823762	0.062719337	0.174955736	0.323912034	1.249340786	0.483302786
Fut4	5.415828215	5.128714431	6.170102206	5.349169901	16.84250136	8.989771689	18.4092313	10.26991685	10.40495759	14.98238638
Fut7	1.330851984	2.745482818	2.828979668	2.381609214	6.477885139	2.968715302	6.201208855	1.047950699	2.163037779	5.333591463
Fut8	52.91985044	49.2280322	37.99612347	36.80153285	15.67288321	27.74285356	14.22973317	22.76911064	24.31552814	23.73361897
Fuz	5.489764436	5.490965636	6.316428741	6.029629676	8.259303552	5.477488796	8.747786786	7.926318015	5.799178874	5.937719946
Fv1	0.739362214	0.762634116	0.731632673	0.396934869	1.205606401	1.170760964	1.205250624	0.990789752	1.174753277	1.087431269
Fxn	4.510109503	4.156355933	4.731224617	3.383397216	5.704137747	6.50190464	5.540264964	5.544611881	4.270134926	5.005636001
Fxr1	115.8765429	109.7049176	99.81908431	97.70268274	80.86559948	117.4524124	81.37385663	102.8515977	111.0608018	112.0226815
Fxr2	87.65139042	87.30254044	91.55163511	81.82528798	120.1647693	84.33660231	121.1276877	89.83795538	90.79164609	97.36825062
